"NE Name","Slot ID","Board Name","Port","Input Power(dBm)","Reference Input Power(dBm)","Input Power Reference Value Time","Input Power State","Reference Input Power Lower Threshold(dBm)","Reference Input Power Upper Threshold(dBm)","Input Power Lower Threshold(dBm)","Min. Value of Input Power Lower Threshold(dBm)","Max. Value of Input Power Lower Threshold(dBm)","Input Power Upper Threshold(dBm)","Min. Value of Input Power Upper Threshold(dBm)","Max. Value of Input Power Upper Threshold(dBm)","Max. Pump Output Power(dBm)","Min. Pump Output Power(dBm)","Output Power(dBm)","Reference Output Power(dBm)","Output Power Reference Value Time","Output Power State","Output Power Lower Threshold(dBm)","Output Power Upper Threshold(dBm)","Reference Output Power Lower Threshold(dBm)","Reference Output Power Upper Threshold(dBm)","Input Power Lower Threshold Default Value(dBm)","Input Power Upper Threshold Default Value(dBm)","CFP/LANE Input Power Lower Threshold Default Value(dBm)","CFP/LANE Input Power Upper Threshold Default Value(dBm)"
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-2,F3LDX,6(RX2/TX2),"	-60.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-2.6",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,1(IN_1),"	-26.5","	-27.1",2022-11-30 12:54:16 DST,Normal,"	-29.9","	-21.9","	-32.0","	-60.0",60.0,"	-2.0","	-60.0",60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,2(PAOUT_1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-10.9",/,/,/,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,3(BAIN_1),"	-24.0",/,/,/,/,/,"	-26.0","	-60.0",60.0,19.0,"	-60.0",60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,4(OUT_1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8,/,/,/,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,6(VI_1),"	-17.0","	-17.7",2022-11-30 12:54:16 DST,Normal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,8(IN_2),"	-14.4",/,/,/,/,/,"	-32.0","	-60.0",60.0,"	-2.0","	-60.0",60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,9(PAOUT_2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,/,/,/,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,10(BAIN_2),"	-11.3",/,/,/,/,/,"	-26.0","	-60.0",60.0,19.0,"	-60.0",60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,11(OUT_2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,/,/,/,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-5,B1DAP,13(VI_2),0.7,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-6,F1EMR8,9(IN/OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,/,/,/,/,-,-,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-7,T1SCC,1(RM1/TM1),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
PANGUIPULLI-WDM-R03B,Shelf0(subrack)-7,T1SCC,2(RM2/TM2),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-2,F3LDX,1(IN1/OUT1 A GORBEA-WDM-R03B MR8 S5 A4/D4 HACIA PITRUFQUEN),"	-9.2","	-9.2",2022-08-11 20:40:10,Normal,"	-12.2","	-4.2","	-16.0",-,-,"	-1.0",-,-,-,-,"	-0.3",/,/,/,"	-3.0",3.0,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-2,F3LDX,2(IN2/OUT2),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-2,F3LDX,3(IN3/OUT3),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-2,F3LDX,4(IN4/OUT4),/,/,/,/,/,/,/,-,-,/,-,-,-,-,/,/,/,/,/,/,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-2,F3LDX,5(RX1/TX1 PB ATN PITRUFQUEN),"	-7.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-2.9",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-2,F3LDX,6(RX2/TX2),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-7,T1SCC,1(RM1/TM1),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
GORBEA-WDM-R03B,Shelf0(subrack)-7,T1SCC,2(RM2/TM2),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-1,58NS4,1(IN/OUT (TO LONCOCHE)),/,/,/,/,/,/,"	-16.0","	-21.0","	-2.0","	-2.0","	-21.0","	-2.0",-,-,/,/,/,/,"	-6.0",0.0,-,-,/,/,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,3(RX1/TX1 PE1-CORE-TEMUCO TE 0/12/0/6 a Lastarria),/,"	-7.1",2021-01-14 02:28:41 DST,/,"	-10.1","	-2.1","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,/,/,/,/,"	-7.0",0.0,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,4(RX2/TX2 PB PE RAN VILLARRICA --- PE2 CORE TEMUCO TE 0/10/0/23),/,"	-5.5",2021-01-14 02:22:22 DST,/,"	-8.5","	-0.5","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,/,/,/,/,"	-7.0",0.0,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,5(RX3/TX3 PB PE RAN PUCON --- PE2 CORE TEMUCO TE 0/10/0/7),/,"	-6.5",2021-01-14 01:50:11 DST,/,"	-10.0","	-2.0","	-12.6","	-16.6",0.5,"	-0.5","	-16.6",0.5,-,-,/,/,/,/,"	-9.2",1.5,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,6(RX4/TX4 PEl-3G-TEMUCO TE 8/0/2 --- ATN 950 LONCOCHE),/,"	-7.6",2021-01-27 17:46:04 DST,/,"	-10.4","	-2.4","	-14.4","	-18.4",1.5,0.5,"	-18.4",1.5,-,-,/,/,/,/,"	-8.2",0.5,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,11(RX9/TX9),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-2,55TTX,12(RX10/TX10),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),3(RX1/TX1),/,/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,/,/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),4(RX2/TX2),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),5(RX3/TX3),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),6(RX4/TX4),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-8,54TOA(STND),10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),3(RX1/TX1 PLANO B PE2-CORE-TEMUCO Gi 0/0/1/9 a LAstarria),"	-6.1","	-5.8",2021-01-14 02:41:29 DST,Normal,"	-9.1","	-1.1","	-25.0","	-29.0","	-2.0","	-3.0","	-29.0","	-2.0",-,-,"	-6.3",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),4(RX2/TX2 ATN1-950-TEMUCO Gi 0/2/5),"	-4.7","	-6.5",2021-04-20 01:25:18,Normal,"	-9.5","	-1.5","	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-5.9",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),5(RX3/TX3 PE2-CORE-TEMUCO Gi 0/0/1/10 PB PE-3G-LASTARREA),"	-60.0",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-6.3",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),6(RX4/TX4),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-11,54TOA(STND),10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,3(RX1/TX1 PB PE2-CORE-TEMUCO TG 0/10/0/22 a Gorbea),/,"	-5.3",2021-01-14 03:02:36 DST,/,"	-8.3","	-0.3","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,/,/,/,/,"	-7.0",0.0,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,4(RX2/TX2 PA PE RAN VILLARRICA --- PE1 CORE TEMUCO TG 0/12/0/9),/,"	-5.7",2021-01-14 02:04:57 DST,/,"	-8.7","	-0.7","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,/,/,/,/,"	-7.0",0.0,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,5(RX3/TX3 PA PE RAN PUCON --- PE1 CORE TEMUCO TG 0/12/0/8),/,"	-6.0",2021-01-14 02:04:57 DST,/,"	-9.1","	-1.1","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,/,/,/,/,"	-7.0",0.0,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,6(RX4/TX4),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,11(RX9/TX9),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-17,55TTX,12(RX10/TX10),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
TEMUCO-WDM-CR06 ETN1,Shelf0(subrack)-18,58NS4,1(IN/OUT (TO LONCOCHE)),"	-10.0",/,/,/,/,/,"	-16.0","	-21.0","	-2.0","	-2.0","	-21.0","	-2.0",-,-,"	-2.5",/,/,/,"	-6.0",0.0,-,-,"	-17.0","	-2.0",-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-1,58NS4,1(IN/OUT (TO TEMUCO FJ)),"	-0.8",/,/,/,/,/,"	-16.0","	-21.0","	-2.0","	-2.0","	-21.0","	-2.0",-,-,"	-2.5",/,/,/,"	-6.0",0.0,-,-,"	-17.0","	-2.0",-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,3(RX1/TX1 PA PE RAN LASTARRIA),"	-6.2","	-6.2",2022-11-15 14:20:30 DST,Normal,"	-9.2","	-1.2","	-12.6","	-16.6",0.5,"	-0.5","	-16.6",0.5,-,-,"	-3.3",/,/,/,"	-9.2",1.5,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,4(RX2/TX2 PB PE RAN VILLARRICA),"	-6.2","	-6.2",2022-11-15 14:20:30 DST,Normal,"	-9.2","	-1.2","	-12.6","	-16.6",0.5,"	-0.5","	-16.6",0.5,-,-,"	-3.4",/,/,/,"	-9.2",1.5,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,5(RX3/TX3 PB PE RAN PUCON),"	-7.7","	-7.7",2022-11-15 14:20:30 DST,Normal,"	-10.7","	-2.7","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.3",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,6(RX4/TX4 ATN 1 950B LONCOCHE TE 0/5/0),"	-5.5","	-5.5",2022-11-15 14:20:30 DST,Normal,"	-8.5","	-0.5","	-14.4","	-18.4",1.5,0.5,"	-18.4",1.5,-,-,"	-1.7",/,/,/,"	-8.2",0.5,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,7(RX5/TX5 PB PE RAN 8KM14 PANGUIPULLI A 1800 R03A ELOM S2 RX1/TX1),"	-7.5","	-7.5",2022-11-15 14:20:30 DST,Normal,"	-10.5","	-2.5","	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.3",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,11(RX9/TX9),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-2,55TTX,12(RX10/TX10),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),3(RX1/TX1),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),4(RX2/TX2),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),5(RX3/TX3),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),6(RX4/TX4),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-8,54TOA(STND),10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),3(RX1/TX1 PB PE RAN LASTARRIA),"	-8.6",/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,"	-5.8",/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),4(RX2/TX2 ATN 950 PITRUFQUEN),"	-6.4",/,/,/,/,/,"	-19.0","	-23.0","	-3.0","	-4.0","	-23.0","	-3.0",-,-,"	-5.5",/,/,/,"	-10.5","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),5(RX3/TX3 RTN HW PB PE-3G-LASTARREA),"	-6.0",/,/,/,/,/,"	-19.0","	-23.0","	-3.0","	-4.0","	-23.0","	-3.0",-,-,"	-5.4",/,/,/,"	-10.5","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),6(RX4/TX4),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),9(RX7/TX7),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-11,54TOA(STND),10(RX8/TX8),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-12,54TOA(STND),3(RX1/TX1 PB PE RAN PANGUIPULLI (NUEVO)-1800 LONCO-WDM-CR01 S2 P1),/,/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,/,/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-12,54TOA(STND),4(RX2/TX2),/,/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,/,/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-12,54TOA(STND),5(RX3/TX3),/,/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,/,/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-12,54TOA(STND),6(RX4/TX4),/,/,/,/,/,/,"	-20.0","	-24.0","	-3.0","	-4.0","	-24.0","	-3.0",-,-,/,/,/,/,"	-10.0","	-2.0",-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-12,54TOA(STND),7(RX5/TX5),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
LONCOCHE-WDM-CR06 ETN1,Shelf0(Master Shelf)-12,54TOA(STND),8(RX6/TX6),/,/,/,/,/,/,/,/,/,/,/,/,-,-,/,/,/,/,/,/,-,-,-,-,-,-
